service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
OP40VPPV,0,0,0,0,0,0,0,20180504,20250606
OP42LJPV,0,0,0,0,0,0,0,20170612,20250630
OP40LJLSQ,0,0,0,0,0,0,0,20170717,20250723
OP41VJLSQ,0,0,0,0,0,0,0,20170721,20250718
OP43LPPV,0,0,0,0,0,0,0,20220606,20250630
OP40LJPPV,0,0,0,0,0,0,0,20180502,20250605
OP44LPV2,0,0,0,0,0,0,0,20170612,20250723
OP42SFMUN,0,0,0,0,0,0,0,20230701,20250628
OP9LJLPQ,0,0,0,0,0,0,0,20170703,20250711
OP40SJLPQ,0,0,0,0,0,0,0,20170701,20250705
OP44FPV,0,0,0,0,0,0,0,20170604,20250720
OP9LUPVR,0,0,0,0,0,0,0,20180521,20250605
OP40SJLSQ,0,0,0,0,0,0,0,20170722,20250719
OP41UPVSR,0,0,0,0,0,0,0,20170531,20250605
OP42FPV2,0,0,0,0,0,0,0,20170611,20250629
OP42FV,0,0,0,0,0,0,0,20170702,20250720
OP43ESJN,0,0,0,0,0,0,0,20250602,20250606
OP43FIN,0,0,0,0,0,0,0,20170903,20250629
OP9LPV,0,0,0,0,0,0,0,20170612,20250630
OP40SPV,0,0,0,0,0,0,0,20170603,20250628
OP40LPV,0,0,0,0,0,0,0,20170612,20250620
OP9FPV,0,0,0,0,0,0,0,20230611,20250629
OP41FIN,0,0,0,0,0,0,0,20170106,20250720
OP41VIUSR,0,0,0,0,0,0,0,20180112,20250606
OP40FV,0,0,0,0,0,0,0,20170723,20250720
OP42VJLPQ,0,0,0,0,0,0,0,20170707,20250711
OP9LJLSQ,0,0,0,0,0,0,0,20170717,20250723
OP9EFCAR,0,0,0,0,0,0,0,20240713,20250712
OP9SV,0,0,0,0,0,0,0,20220702,20250719
OP9VUPVR,0,0,0,0,0,0,0,20180525,20250606
OP40FPV,0,0,0,0,0,0,0,20170604,20250629
PRUEBA,0,0,0,0,0,0,0,20160630,20250723
OP43FV,0,0,0,0,0,0,0,20170702,20250720
OP44LPV,0,0,0,0,0,0,0,20170612,20250630
OP9SPV,0,0,0,0,0,0,0,20230610,20250628
OP40LJLPQ,0,0,0,0,0,0,0,20170703,20250711
OP44SV,0,0,0,0,0,0,0,20220611,20250719
OP44LV,0,0,0,0,0,0,0,20170703,20250723
OP41LJUPVR,0,0,0,0,0,0,0,20170612,20250630
OP43LV,0,0,0,0,0,0,0,20170703,20250723
OP42LJPPSR,0,0,0,0,0,0,0,20170606,20250605
OP9FV,0,0,0,0,0,0,0,20220703,20250720
OP42LJLSQ,0,0,0,0,0,0,0,20170717,20250723
OP42VJLSQ,0,0,0,0,0,0,0,20170721,20250718
OP42LJLPQ,0,0,0,0,0,0,0,20170703,20250710
OP44LPPV,0,0,0,0,0,0,0,20250602,20250606
OP41VUPVR,0,0,0,0,0,0,0,20170616,20250627
OP41LJLSQ,0,0,0,0,0,0,0,20170717,20250723
OP41LJLPQ,0,0,0,0,0,0,0,20170703,20250710
OP41SIN,0,0,0,0,0,0,0,20170107,20250719
OP43SEGDX,0,0,0,0,0,0,0,20170902,20250628
OP42VPV,0,0,0,0,0,0,0,20170616,20250627
OP42SPV2,0,0,0,0,0,0,0,20170610,20250628
OP43SIN,0,0,0,0,0,0,0,20170902,20250628
OP41VJLPQ,0,0,0,0,0,0,0,20170707,20250711
OP42RFNOCT,0,0,0,0,0,0,0,20230610,20250607
OP40LPV2,0,0,0,0,0,0,0,20180605,20250630
OP43SV,0,0,0,0,0,0,0,20170701,20250719
OP42SV,0,0,0,0,0,0,0,20170701,20250719
OP42VPPSR,0,0,0,0,0,0,0,20170609,20250606
OP41XUSR,0,0,0,0,0,0,0,20170531,20250605
