service_id,date,exception_type
OP40LJPPV,20250603,1
OP41UPVSR,20250603,1
OP42LJPPSR,20250603,1
OP43ESJN,20250603,1
OP44LPPV,20250603,1
OP9LUPVR,20250603,1
PRUEBA,20250603,1
OP40LJPPV,20250604,1
OP41XUSR,20250604,1
OP42LJPPSR,20250604,1
OP43ESJN,20250604,1
OP44LPPV,20250604,1
OP9LUPVR,20250604,1
PRUEBA,20250604,1
OP40LJPPV,20250605,1
OP41UPVSR,20250605,1
OP42LJPPSR,20250605,1
OP43ESJN,20250605,1
OP44LPPV,20250605,1
OP9LUPVR,20250605,1
PRUEBA,20250605,1
OP40VPPV,20250606,1
OP41VIUSR,20250606,1
OP42VPPSR,20250606,1
OP43ESJN,20250606,1
OP44LPPV,20250606,1
OP9VUPVR,20250606,1
PRUEBA,20250606,1
OP40SPV,20250607,1
OP41SIN,20250607,1
OP42RFNOCT,20250607,1
OP42SPV2,20250607,1
OP43SEGDX,20250607,1
OP44SV,20250607,1
OP9SPV,20250607,1
PRUEBA,20250607,1
OP40FPV,20250608,1
OP41FIN,20250608,1
OP42FPV2,20250608,1
OP43FIN,20250608,1
OP44FPV,20250608,1
OP9FPV,20250608,1
PRUEBA,20250608,1
OP40LPV,20250609,1
OP41LJUPVR,20250609,1
OP42LJPV,20250609,1
OP43LPPV,20250609,1
OP44LPV,20250609,1
OP9LPV,20250609,1
PRUEBA,20250609,1
OP40LPV,20250610,1
OP41LJUPVR,20250610,1
OP42LJPV,20250610,1
OP43LPPV,20250610,1
OP44LPV,20250610,1
OP9LPV,20250610,1
PRUEBA,20250610,1
OP40LPV,20250611,1
OP41LJUPVR,20250611,1
OP42LJPV,20250611,1
OP43LPPV,20250611,1
OP44LPV,20250611,1
OP9LPV,20250611,1
PRUEBA,20250611,1
OP40LPV,20250612,1
OP41LJUPVR,20250612,1
OP42LJPV,20250612,1
OP43LPPV,20250612,1
OP44LPV,20250612,1
OP9LPV,20250612,1
PRUEBA,20250612,1
